May	may
artichoke	artişok
artichoke	ənginar
cardiology	kardiologiya
neurology	nevrologiya
pulmonology	pulmonologiya
cardiologist	kardioloq
neurologist	nevroloq
pulmonologist	pulmonoloq
locksmith	çilingər
wrestler	güləşçi
immunity	toxunulmazlıq
untouchable	toxunulmaz
wrestling	güləş
rower	avarçı
rower	kürəkçi
rower	avarçəkən
pray	dua etmək
cage	qəfəs
chest	döş
tirelessness	yorulmazlıq
properly	cabəca
tuberculosis	vərəm
dysentery	dizenteriya
planet	səyyarə
tonsil	badamcıq
spleen	dalaq
swell	qabarmaq
high tide	qabarma
low tide	çəkilmə
nə	neyləmək
Easter	Pasxa
appetizer	məzə
joke	məzhəkə
exist	var olmaq
singular	-əm
singular	-sən
plural	-dirlər
disappear	yox olmaq
dəli	-miş
brave	comərd
method	üsul
security	girov
peddler	çərçi
mercury	civə
torture	işgəncə
bashlyk	başlıq
as well as	həm
khotbah	xütbə
sermon	vəz
generous	səxavətli
generous	əliaçıq
Karakalpak	qaraqalpaq
employee	əməkdaş
decree	fərman
steering wheel	sükan
familiar	tanış
seal	suiti
share	bölüşmək
lead	qurğuşun
itinerant	səyyar
small	xırda
exhibition	sərgi
khatib	xətib
come	baş çəkmək
backbiting	qeybət
gossipy	qeybətcil
gossip	qeybətçi
messenger	xəbərçi
syllable	heca
after	dalınca
abroad	xaric
linden	cökə
one at a time	təkbətək
wither	solmaq
bribetaker	rüşvətxor
freeloader	müftəxor
wake up	oyatmaq
defend	müdafiə etmək
wake up	durğuzmaq
topic	mövzu
property	mülkiyyət
test	imtahan
see you	görüşənədək
nation	millət
nationalist	millətçi
nationalism	millətçilik
beetle	böcək
attempt	cəhd
unsuccessful	uğursuz
pelican	qutan
heron	vağ
titmouse	arıquşu
beekeeper	arıçı
beekeeping	arıçılıq
spread out	sərmək
sturgeon	nərə
salmon	qızılbalıq
ziege	qılıncbalığı
Caspian roach	külmə
kutum	kütüm
beluga	ağbalıq
pasture	otlaq
stock up on	tədarük etmək
atmaq	qırağa atmaq
aside	qırağa
o	o cümlədən
beforehand	əvvəlcədən
zaman	zaman-zaman
open syllable	açıq heca
closed syllable	qapalı heca
syllable	örtüsüz heca
syllable	örtülü heca
closed	qapalı
surface	səth
space	fəza
three-dimensional	üçölçülü
hell	cəhənnəm
public	ictimaiyyət
socialize	ictimailəşdirmək
privatize	özəlləşdirmək
note	qeyd
look	baxış
gentleman	bəy
spouse	həyat yoldaşı
embassy	elçilik
composer	bəstəkar
edge	kənar
extraparliamentary	parlamentdənkənar
prose	nəsr
sketch	oçerk
speech	nitq
point	məntəqə
orator	natiq
desalination	duzsuzlaşdırılma
desalinated	duzsuzlaşdırılmaq
desalinate	duzsuzlaşdırmaq
become	duzsuzlaşmaq
saltless	duzsuz
salty	duzlu
salt	duzlamaq
turtle	bağa
suitcase	çamadan
bucket	vedrə
bowl	çanaq
Antakiyeh	Əntakiyə
Ethiopian	efiop
backbite	pisləmək
goldsmith	zərgər
will	iradə
matter	maddə
crunch	xırçıldamaq
crunch	xırtıldamaq
up	yuxarı
investment	qoyuluş
bridge	körpücük
grammar	qoşma
tying	bağlanış
group	qrup
herd immunity	kütlə immuniteti
from	oradan
sir	cənab
madam	xanım
across	aşmaq
disgraceful	üzüqara
zəhmət	zəhmət olmasa
sincere	öyüd
hymen	qızlıq pərdəsi
floor	mərtəbə
təcridetmə	özünü təcridetmə
self-isolate	özünü təcrid etmək
whence	haradan
by name	adbaad
appearance	yöndəm
missing	əskik
downwards	aşağa
production	buraxılış
object	obyekt
motivation	motivasiya
literary science	ədəbiyyatşünaslıq
revenge	öc
turn	çevirmək
musical	bəstə
compose	bəstələmək
coup	çevriliş
top	təpə
straw	samanlıq
saman	saman sənin deyil, samanlıq ki sənindir
fragile	kövrək
pretend	özünü vurmaq
hunchback	qozbel
uçuş	uçuş-eniş zolağı
strip	zolaq
small	yolağa
day-to-day	məişət
moment	ləhzə
mother-of-pearl	sədəf
mobilization	səfərbərlik
waiter	ofisiant
mobilized	səfərbər
will	vəsiyyətnamə
quince	heyva
type	növ
desert	səhra
praise	tərifləmək
praise	öymək
belonging	mənsub
suitable	münasib
belonging	mənsubiyyət
relationship	münasibət
mənsubiyyət	mənsubiyyət əvəzliyi
deteriorate	pozulmaq
shorts	şortik
Nowruz	münasibətilə
leave alone	əl çəkmək
indebted	borclu
systematic	ardıcıl
various	cürbəcür
kind	cür
member	üzv
membership	üzvlük
United Nations	Birləşmiş Millətlər Təşkilatı
united	birləşmiş
United Kingdom	Birləşmiş Krallıq
colony	müstəmləkə
colonize	müstəmləkələşdirmək
colony	müstəmləkələşmək
roast	qovurmaq
fry	qızartmaq
negative	mənfi
positive	müsbət
eruption	püskürmə
decade	onillik
to	yanına
sell	satılmaq
more and more	getdikcə
ammunition	sursat
dream	röya
attentive	diqqətli
meticulous	diqqətcil
cattle	damğa
distribute	paylamaq
row	cərgə
convince	inandırmaq
alongside	yanaşı
woodlouse	məryəmqurdu
ladybug	xanımböcəyi
unaware	xəbərsiz
approach	yanaşmaq
attitude	yanaşma
hot	qaynar
hotline	qaynar xətt
hot	qızğın
henbane	bəngotu
datura	dəlibəng
be late	gecikmək
pedagogy	pedaqogika
liberty	hürriyət
smaller	tavacıq
skillet	sapılca
trench	səngər
ditch	xəndək
against	əleyhinə
pit	çuxur
throw	aşırmaq
frontline	cəbhəçi
front	cəbhə
transfer	köçürmək
vermək	ərə vermək
some	bəzilər
act	davranmaq
carefully	ehtiyatla
tiredness	yorğunluq
really	həqiqətən
az	az qala
campaign	yürüş
spoil	korlamaq
long time no see	üzünü görək
declaration	bəyannamə
vomit	öyümək
algorithm	alqoritm
insurance	sığorta
brag	öyünmək
deprive	məhrum etmək
ummah	ümmət
çıxmaq	başı çıxmaq
time	ovqat
sieve	ələk
sieve	xəlbir
grater	sürtgəc
circumference	dolay
legend	əfsanə
companion	ortaq
position	mövqe
common denominator	ortaq məxrəc
taxon	ortaq türkcə
driver	yamçı
su	dəyirmanına su tökmək
grind	ovmaq
distinctive	fərqli
ayah	ayə
qapik	qəpik
unanimous	yekdil
file	əyə
legal	qanuni
actress	aktrisa
better	yaxşıraq
shorter	gödərək
24	sutka
within	ərzində
star-of-Bethlehem	xıncalaus
taste	dadmaq
baxmaq	dadına baxmaq
vermək	dadını vermək
twitch	səyirmək
turn	dolanmaq
textbook	dərslik
support	dolandırmaq
maturity	yetkinlik
wind	dolamaq
niyə	axı
yesterday	dünənki
evening	axşamkı
present-day	bugünkü
hard-working	işcil
prone	yuxucul
sandy	qumsal
err	yanılmaq
confuse	səhv salmaq
equal	yaşıd
equal	həmyaş
remuneration	məvacib
barrel	çəllək
folder	qovluq
assistant	yardımçı
malicious	qərəzli
persecute	təqib etmək
refuge	sığınacaq
indirectly	dolayısıyla
directly	birbaşa
repetition	təkrar
melt	əritmək
kərə	kərə yağı
fat	piy
heifer	düyə
to one's heart's content	doyunca
patronage	himayə
reflection	düşüncə
involvement	cəlb
invitation	dəvət
burial	dəfn
respect	hörmət
destruction	məhv
cancellation	ləğv
university	darülfünun
singe	ütmək
saker	ütəlgi
espionage	casusluq
promise	vəd
dance	rəqs
dancer	rəqqas
danseuse	rəqqasə
musician	çalğıçı
establishment	təyin
advancement	irəliləyiş
decline	tənəzzül
medical	tibbi
trial	sınaq
nüvə	nüvə silahı
nucleus	nüvə
protection	havadarlıq
disrespect	hörmətsizlik
disrespectful	hörmətsiz
shake up	çırpmaq
pretty	göyçək
pretext	bəhanə
repulse	qaytarış
irretrievable	qaytarılmaz
reflector	qaytarıcı
reflect	əks etdirmək
counterfeit	qəlp
replicate	tirajlamaq
inspire	ruhlandırmaq
bolder	ruhlanmaq
courage	cəsarət
weekend	həftəsonu
dəymək	xətrinə dəymək
dəymək	arası dəymək
lighter	alışqan
dress up	bəzəmək
fund	maliyyələşdirmək
budget	büdcə
collide	toqquşmaq
collision	toqquşma
peg out	çezmək
trustworthy	ümidli
dissolute	yava
sleepless	yuxusuz
fighter plane	qırıcı
wealth	sərvət
natural resource	təbii sərvət
demonstration	nümayiş
rally	mitinq
pardon	əfv
party	partiya
party	firqə
stutterer	pəltək
compose	tərtib etmək
compiler	tərtibçi
dictionarist	lüğətçi
organization	təşkil
well	mütəşəkkil
well	mütəşəkkillik
organizer	təşkilçi
organizer	təşkilatçı
melt	ərinmək
lazybones	ərincək
economy	qənaət
thrifty	qənaətcil
undeniable	təkzibedilməz
relation	övladlıq
train	məşq etmək
impolite	köntöy
valid	keçərli
broadcast	yayım
blind gut	korbağırsaq
anarchism	anarxizm
swallow	qurtum
puff	qullab
layer	təbəqə
shoe	çarıq
slide	şap-şap
broadcast	yayımlamaq
sick and tired	usanmaq
sick and tired	usandırmaq
sick and tired	bezdirmək
sick and tired	bezmiş
sick and tired	usanmış
spider	toratan
monosemous	birmənalı
polysemous	çoxmənalı
impartial	bitərəf
curse	qarğış
reed	qarğı
curse	qarğımaq
appearance	görünüş
skirt	deyrə
pleasant	xoş
injury	xəsarət
artillery	artilleriya
rebellion	ixtilal
touch-me-not	mənədəymə
taxt	taxt-tac
rebel	ixtilalçı
careful	ehtiyatlı
specialist	mütəxəssis
specialty	ixtisas
peculiarity	xüsusiyyət
especially	ələlxüsus
box	yeşik
other than	savayı
unwell	naxoş
especially	xüsusən
especially	xüsusilə
character	xasiyyət
regard	xüsus
reporter	müxbir
economic	iqtisadi
pickpocket	cibgir
almaq	könlünü almaq
volunteer	könüllü
discipline	intizam
unwillingly	könülsüz
order	sifariş
regime	rejim
duty	gömrük
stir	qarışdırmaq
crowd	izdiham
onto	üstünə
praise	tərif
göy	göy qurşağı
walk	gəzəyən
careless	səhlənkar
rebel	üsyankar
competent	işgüzar
tax evasion	vergidən yayınma
evasion	yayınma
become	yayınmaq
distract	yayındırmaq
entertain	əyləndirmək
fit	fərli
high	keyfiyyətli
low	keyfiyyətsiz
good	yönlü
use	işlətmək
almaq	əlindən almaq
owner	sahibkar
bashful	abırlı
shameless	abırsız
unseemly	abırsızcasına
for the most part	əsasən
reply	cəvabən
rival	rəqib
competition	rəqabət
getmək	rəhmətə getmək
mercy	rəhmət
entrepreneurship	sahibkarlıq
magical	sehrkar
fruitful	məhsuldar
inflectional	sözdəyişdirici
derivational	sözdüzəldici
reform	islahat
search	araşdırma
research	tədqiqat
intensity	şiddət
fate	qəza
transportation	nəqliyyat
forcibly	zorakı
fierce	şiddətli
aggression	təcavüz
foot-and-mouth disease	dabaq
tanner	dabbağ
hives	qurdeşənəyi
humour	mizah
humour	yumor
rooster	şirinquş
jealous	qısqanmaq
rat	siçovul
always	eyzan
glass	qədəh
cherry	albalı
brawler	qalmaqalçı
Gypsy	qaraçı
Gypsy	siqan
notch	ovuq
corner	künc
disappointed	peşman
repentance	peşmançılıq
poverty	kasıbçılıq
haqq	haqq-ədalət
just	ədalətli
nickname	ləqəb
unjust	ədalətsiz
götür	götür-qoy
questioning	sorğu-sual
survey	sorğu
question	sorğulamaq
general	ümumi
prison	cəzaçəkmə müəssisəsi
belt	kəmər
sash	belbağı
sash	qurşaq
subject	mübtəda
completeness	tamamlıq
direct object	vasitəsiz tamamlıq
indirect object	vasitəli tamamlıq
sentence	cümlə üzvü
adverbial	zərflik
true	gerçək
utopian	xəyalpərəst
dream	xəyal
nominalization	isimləşmə
spare	əsirgəmək
armour	yaraq-əsləhə
weapons	yaraq-yasaq
also	həmçinin
armour	yaraq-əsbab
weapon	yaraq
climb	dırmaşmaq
nettle	gicitikən
alone	təkcə
how are you	salamatçılıqdır
sağ-salamat	sağ-salamat qayıdasan
sağ-salamat	sağ-salamat gedib gələsən
mən	mən azmışam
mən	mən yolumu itirmişəm
zəhmət olmasa	zəhmət olmasa bir də təkrar edin
pride	fəxr
so	beləliklə
yurt	alaçıq
synagogue	sinaqoq
scale	miqyas
kef	kayf
character	xislət
Karakalpakstan	Qaraqalpaqıstan
slander	şər-böhtan
confirmation	təsdiq
sufficient	bəs
disgraceful	biabırçı
corpse	mürdəşir
convict	məhkum
evil	şər
too	də
antibody	anticisim
cowardly	nakişi
gas station	yanacaq doldurma məntəqəsi
come	sarmaq
innocent	məsum
native	doğma
stork	leylək
circle	yarus
icehouse	buzxana
postcard	açıqça
bandage	sarğı
gamble	baxtalamaq
fan	sərinkeş
suffering	əziyyət
syringe	şpris
finance	maliyyə
openly	açıqca
petal	ləçək
imprisonment	azadlıqdan məhrumetmə
life-time	ömürlük
wheelchair	əlil arabası
baby carriage	uşaq arabası
kindergarten	uşaq bağçası
injury	zədə
handicapped	əlil
disability	əlillik
paralyze	iflic etmək
strategy	strategiya
attempt	cəhd etmək
herdsman	çomaq
crier	çovuş
face	çöhrə
ovary	yumurtalıq
damage	zədələmək
walk	gəzinti
marriageable	ərgən
beak	dimdik
pickup	bazlıq
aquire	kəsb etmək
trunk	xortum
animal	xillə
udder	yelin
paw	pəncə
feather	lələk
money	ağça
desperate	çıxılmaz
fine	cərimələmək
caninophile	itbaz
safe and sound	sağ-salamat
lady's man	arvadbaz
sly	kələkbaz
ornithophile	quşbaz
gossip	sözbaz
document	sənəd
kernel	özək
take	gəzişmək
poverty	yoxsulluq
erect	ucaltmaq
dull	küt
sharp	kəskin
documentary	sənədli
Gog	Yəcuc
Magog	Məcuc
geniş	yayılmış
stereotypical	stereotipli
rowdy	davakar
fleet	donanma
decorate	donatmaq
safe	əsən
nature	səciyyə
oncoming	əks-hərəkət
azure	lacivərd
martial law	hərbi vəziyyət
degree	dərəcə
counter-attack	əks-hücum
counteraction	əks-əməl
counteroperation	əks-əməliyyat
operation	əməliyyat
surgeon	cərrah
surgery	cərrahiyyə
surgical	cərrahi
surgeon	cərrahlıq
stop	durdurmaq
contrary	əks
counterstrike	əks-zərbə
mine	minalamaq
minefield	mina sahəsi
headquarters	qərargah
camp	ordugah
render	zərərsizləşdirmək
rendered	zərərsizləşmək
mercenary	muzdlu döyüşçü
fighter	döyüşçü
hired	muzdlu
murderer	qatil
trophy	qənimət
become	qudurmaq
fiction	qondarma
establish	qondarmaq
so-called	dırnaqarası
come down	qonmaq
periodic	vaxtaşırı
ooze	sızmaq
reliable	etibarlı
literary	ədəbi
spring	mənbə
information	informasiya
raw material	xammal
informed	məlumatlı
arrival	gəliş
departure	gediş
commander in chief	ali baş komandan
supreme court	ali məhkəmə
seat	ali təhsil müəssisəsi
higher education	ali təhsil
tertiary education	ali təhsilli
educated	təhsilli
education	təhsilsiz
rule of law	qanunun aliliyi
supremacy	alilik
military	hərbi komissarlıq
plain	düzənlik
plateau	yayla
calm	arxayın
cabbage	kələm
spinach	ispanaq
asparagus	qulançar
chickpea	noxud
grean	göy noxud
well	sərrast
shooter	atıcı
fortuneteller	falçı
drone	pilotsuz uçuş aparatı
reconnaissance	kəşfiyyat
counterintelligence	əks-kəşfiyyat
scout	kəşfiyyatçı
male	erkək
pilotless	pilotsuz
retreat	geriyə çəkilmə
backwards	geriyə
forward	qabağa
destroy	viran etmək
pluck	didmək
annoying	qıcıqlandırıcı
pluck	yolmaq
cast iron	çuqun
founding	tökük
understanding	anlaq
long-range	uzaqvuran
shell	mərmi
multiple	reaktiv yaylım atəş sistemi
reaktiv yaylım atəş sistemi	RYAS
night	yaylım
armoured	zirehli
portable	daşınabilən
gun-layer	tuşlayıcı
attack	həmlə
cease-fire	atəşkəs
violation	pozulma
mountain pass	aşırım
veranda	taxtabənd
Qarabağ	Dağlıq Qarabağ Muxtar Vilayəti
breach	pozuntu
ordeal	zillət
aim	tuşlamaq
Georgia	Tuş
layer	düzücü
string	düzmək
type foundry	hərfxana
making	tərtib
Syriac	süryani
Nestorian	nəsturi
Irishman	irland
Pole	polyak
Christian	xristian
Christianity	xristianlıq
Micronesia	Mikroneziya
ruins	təxribat
poetess	şairə
ezafe	izafət
resurrection	bə's
fenugreek	şəmbəllə
isolate	təkləmək
trap	duzaq
trap	tələ
plunderer	talançı
inevitability	qaçılmazlıq
inevitable	qaçılmaz
valiant	rəşadətli
fraud	fırıldaq
swindler	fırıldaqçı
special forces	xüsusi təyinatlı
scammer	atanşik
nəzarət	nəzarət-buraxılış məntəqəsi
control	nəzarət
ticket collector	nəzarətçi
control	nəzarət etmək
environment	ətraf mühit
environment	mühit
reserve	ehtiyat
active	fəal
reproach	danlaq
situation	əhatə
unattended	nəzarətsiz
lead	yeritmək
lead	yürütmək
imagination	təxəyyül
oil	nöyüt
airless	havasız
remaining	yerdə qalan
carpenter	xarrat
rotate	fırlanmaq
spinning top	fırfıra
cheer on	azarkeşlik etmək
fan	azarkeş
dədə	dədə-baba
get used	öyrəşmək
irreverent	dikbaş
potbellied	yekəqarın
turn	fırlatmaq
detail	təfərrüat
kənd	kənd təsərrüfatı
peasant	kəndli
military service	əsgərlik
fool around	lülə qurutmaq
provocation	provokasiya
dancing	mütrüb
export	ixrac
import	idxal
interventionist	müdaxiləçi
tube	lülə
religious	təəssüb
increase	çoxalmaq
crab	yengəc
fanatic	təəssübkeş
fanaticism	təəssübkeşlik
junction	qovşaq
vestibule	dəhliz
word	söz birləşməsi
upbringing	tərbiyə
nursery	tərbiyəçi
ill-bred	tərbiyəsiz
ill	tərbiyəsizlik
well-bred	tərbiyəli
educative	tərbiyəvi
tassel	qotaz
good manners	tərbiyəlilik
nursery	tərbiyəçilik
educated	tərbiyələnmək
gambling	qumar
gambler	qumarbaz
congratulations	təbriklər
aydın	gözün aydın olsun
sink	batırmaq
bring up	tərbiyələndirmək
dishonorable	binamus
gətirmək	gözə gətirmək
honorable	namuslu
dishonorable	namussuz
opposite	tərs
decisive	həlledici
tattoo	döymə
döymə	vurdurmaq
nuş	nuş olsun
honor	qeyrət
Christian	tərsa
honest	qeyrətli
quarrel	atışmaq
wrangle	atışma
echo	əks-səda
forced	məcbur
corruption	korrupsiya
force	məcbur etmək
male	əmoğlu
scale	ərp
saddled	yəhərli
source	qaynaq
disciplined	intizamlı
fortunately	xoşbəxtlikdən
infirmity	düşkünlük
good	əmtəə
bourgeoisie	burjuaziya
baker	çörəkçi
bride	gəlinlik
baker	şatır
coin	sikkə
circulation	tədavül
miller	dəyirmançı
pandering	oğraşlıq
tinge	çalar
degree	dərəcəli
salt cellar	duzqabı
salt cellar	nəməkdan
hair	tük
capitulation	kapitulyasiya
soundless	səssiz
noisy	səs-küylü
artful	incə
et cetera	və sair
and so forth	və ilaxır
run out	tükənmək
separation	ayrılıq
əmək	əmək haqqı
leg	qıç
spit	tüpürmək
spit	tüpürcək
never	tükənməz
something	dürmək
concussion	sarsıntı
lexicographer	leksikoqraf
muck	qığ
the other way around	tərsinə
upright	dikinə
welder	qaynaqçı
sad	həzin
victorious	müzəffər
confer	gənəşmək
consult	məsləhətləşmək
write	yazışmaq
dark	zülmət
crack	çatlamaq
mirage	ilğım
mirage	sərab
supervision	baxım
anxiety	əndişə
anxiety	təlaş
nightgown	gecə köynəyi
bed	çarpayı
foreplay	ön sevişmə
Cossack	yasavul
torch	məşəl
light bulb	lampoçka
lamp	çıraq
field	mədən
stomach	mədə
anxiety	təşviş
suffering	iztirab
qutu	içində
nowhere	heç yerdə
nowhere	heç yanda
nowhere	heç yana
nowhere	heç yerə
stick	dəyənək
support	dayaq
insistence	israr
persistent	israrlı
insist	israr etmək
request	xahiş etmək
lie in wait	pusmaq
ambush	pusqu
mourning	şivən
pillar	dirək
arbitrator	həkəm
arbitrator	münsif
assembly	yığma
even	hətta
not	nəinki
fetus	döl
pair of compasses	pərgar
velvet	məxmər
dative	yönlük
strength	taqət
drill	burğu
twin	əkiz
elder	kəndalaş
weaken	zəifləmək
purchase	əldə etmək
ice cream	dondurmaçı
calm	aramgah
qara	qara məni basınca mən qaranı basım
always	oturub-durub
social	ünsiyyət
associate	oturub-durmaq
eloquent	bəlağətli
eloquence	bəlağət
death	əcəl
and	bir də
strength	gurluq
pile	qalaq
wilderness	biyabanlıq
Islamic	təsəvvüf
idyllic	idillik
indifference	laqeydlik
indifferent	laqeyd
tan	aşılamaq
payment	icrət
simple-hearted	sadədil
intermediary	vasitəçi
through	vasitəsilə
means	vasitə
etmək	əlindən gələni etmək
sənin	əlindən
highly	son dərəcədə
last	sonuncu
termination	sonlandırma
terminate	sonlandırmaq
seashell	balıq qulağı
slap	şillə
slap	şillələmək
equate	eyniləşdirmək
cheerful	şən
fun	şənlik
founder	qurucu
make	qəbul etdirmək
foolish	sarsaq
cunt	amcıq
slanteye	amcıqgöz
narrow-minded	dardüşüncəli
misunderstanding	anlaşılmazlıq
registration	qeydiyyat
foolish	ağılsız
stupid	səfeh
customs	rastamoşka
clear	rastamoşka etmək
founder	təsisçi
smallness	kiçiklik
at least	ən azı
smell	qoxumaq
sniff	qoxulamaq
curer	loğman
bu	bu yaxınlarda
pole	şüvül
moss	mamır
appearance	görkəm
smell	iylənmək
smell	iyləmək
poison	zəhərləmək
devout	inanclı
long story short	sözün qısası
look	yan baxmaq
look	tərs baxmaq
beat	döyüntü
send	yollamaq
compare	müqayisə etmək
useful	xeyirli
useful	düşərli
corner	güşə
bribe	yolunu görmək
remind	yada salmaq
establishment	təsisat
arrive	qədəm qoymaq
step	qədəm
angry	hirslənmək
reliance	təvəkkül
empty	puç
short	gödək
detailed	ətraflı
known	məlum
known	bəlli
article	məqalə
sly	qurnaz
thoroughly	yerbəyer
dense	sıx
sycophant	yaltaq
shrink	daralmaq
abomasum	qursaq
journal	dərgi
menstruation	aybaşı
kurultai	qurultay
exemplified	timsalında
portrait	timsal
example	örnək
run	yüyürmək
discount	endirmə
take down	endirmək
bankruptcy	iflas
bankrupt	müflis
reveal	üzə çıxarmaq
politeness	nəzakət
betrothed	adaxlı
circle	dərnək
blow	üfürmək
technique	texnika
spin	hərlənmək
pattern	bəzək
health	səhhət
bad	xarab
predict	proqnozlaşdırmaq
postponement	möhlət
involuntary	qeyri-ixtiyari
clash	çarpışma
visit	ziyarət
pilgrim	zəvvar
be	sahib çıxmaq
mental	mənəvi
acceptable	məqbul
blizzard	çovğun
shallow	dayaz
figure out	ayırd etmək
hold on	toxtamaq
campfire	tonqal
pilgrim	ziyarətçi
revealed	üzə çıxmaq
awning	talvar
riverbed	çaylaq
kick	təpik
prisoner	dustaq
sycophancy	yaltaqlıq
asslicker	götəgirən
nonsense	cəfəngiyyat
rein	cilov
gazelle	ceyran
dowry	cehiz
charming	cazibədar
justification	bəraət
attack	basqın
standard	bayraqdar
direct	döndərmək
bog	bataqlıq
gunpowder	barıt
trust	etimad
the other day	dünənləri
iraq	üzdən iraq
Allah	Allah eləməsin
drill	burğulamaq
acting	artistlik
cardinal point	cəhət
close	sirdaş
janissary	yeniçəri
army	çəri
nausea	bulantı
become	bulaşmaq
God	Allah-təala
snore	xorultu
snore	xoruldamaq
boaster	yekəxana
arrogance	yekəxanalıq
rage	coşmaq
stormy	coşqun
watchman	gözətçi
kefir	doğramac
start	xodlamaq
start	xodlanmaq
strained	sərpmək
strong	möhkəm
trust	etibar
countryman	eloğlu
someone	həmşəhər
curse	söyüş söymək
old	naçaq
pub	meyxana
filled	dolğun
material	maddi
world	aləm
close	qapamaq
close	yummaq
cellar	zirzəmi
fortochka	nəfəslik
simple	bəsit
individual	fərd
being	yalqız
lonely	tənha
abandoned	atılmış
individual	fərdi
prudent	tədbirli
long	davamlı
corner kick	künc zərbəsi
long	sürəkli
length	sürək
stingy	dargöz
exaggeration	şişirtmə
try	sınamaq
grow	qocalmaq
age	qocaltmaq
become	cavanlaşmaq
rejuvenate	cavanlaşdırmaq
gətirmək	bəxti gətirmək
lucky	bəxtəvər
survive	sağ çıxmaq
happy	bəxtiyar
lucky	bəxtli
candidate	namizəd
candidature	namizədlik
head of state	dövlət başçısı
emir	əmir
put forward	irəli sürmək
accusation	ittiham
accuser	ittihamçı
theft	oğruluq
theft	oğurluq
quite a bit	xeyli
Kipchak	qıpçaq
mucus	selik
necessary	zəruri
certainly	mütləq
hearing	eşitmə
pond	nohur
helmet	dəbilqə
growth	artım
hard	tutarlı
tranquility	arxayınlıq
ordu	tutulmaq
in order that	deyə
chandelier	qəndil
basket	səbət
dim	tutqun
power	özbaşınalıq
entrails	içalat
begrudge	qıymaq
remnant	qalıq
boil	qaynatmaq
rub	sürtmək
bottle	butulka
family	əyal
twig	çubuq
meal	xörək
stallion	ürgə
stallion	ayğır
spear	cida
fight	döyüşmək
load	yükləmək
file	fayl
accent	ləhcə
accent	şivə
blow	vurğu
interview	müsahibə
foam	kəflənmək
ride	kəfəlləşmək
jerk off	kəfləmə atmaq
jerk off	kəfləmə vurmaq
drowning	qərq
grass snake	koramal
adder	gürzə
till	şumlamaq
honor	şərəf
die	gəbərmək
download	yükləniş
confidable	ağzıbütöv
blabbermouth	ağzıcırıq
runny	sıyıq
for the time being	hələlik
for good	həmişəlik
girth	örkən
lash out	şığımaq
pouring	şıdırğı
illness	əngəl
pastirma	basdırma
oldest	qocaman
selflessness	fədakarlıq
ploughed	şum
harvest	məhsul
set	yığım
threshing	xırman
crop	məhsulsuzluq
infertile	məhsulsuz
monopoly	inhisar
monopolist	inhisarçı
politician	siyasətçi
cognition	təfəkkür
thinker	mütəfəkkir
abstract	mücərrəd
part of speech	nitq hissəsi
worldview	zehniyyət
intellectual	zehni
pensive	dalğın
certificate	sürücülük vəsiqəsi
certificate	vəsiqə
identity card	şəxsiyyət vəsiqəsi
work	sürücülük
sound	səslənmək
convincing	inandırıcı
mischievous	şuluq
adventure	macəra
dark	tünd
cloudy	buludlu
flit	səkmək
sidewalk	səki
join	qovuşdurmaq
discern	fərqləndirmək
appearance	abır
speak of the devil	adını çək, qulağını bur
dastan	dillərdə dastan
false hellebore	asırqal
horror	vahimə
clean	təmizləmək
conjecture	fərziyyə
probability	ehtimal
day before yesterday	sırağagün
concentration	təmərküz
office	dəftərxana
narcotic	uyuşdurucu
tragedy	faciə
so	deməli
very	olduqca
stain	ləkə
again	yenidən
deceased	rəhmətlik
anesthetized	hissizləşmək
sleep	uyumaq
always	hər zaman
fall asleep	yuxulamaq
stain	ləkələmək
speck	ləkəcik
brag	maxtanmaq
embodiment	təcəssüm
rise	yüksəliş
soil	zəmin
vertical	şaquli
inflammation	iltihab
suicide	intiharçı
set the stage	zəmin yaratmaq
intellectual	ziyalı
intelligentsia	ziyalılar
plait	hörük
wire	məftil
barbed wire	tikanlı məftil
misguided	sapqın
keep up	ayaqlaşmaq
slope	meyil
hope	ummaq
hope	ümid etmək
alright	qaydasında
that	şol
undone	yalman
excited	həyacanlı
excitement	həyacan
mass	kütləvi
mass	kütlə
sloping	meyilli
bent	əyilmək
fat	səmiz
excited	əsrik
log	şalban
vulgar	bayağı
grow	səmizmək
chubby	toppuş
smear	yağlamaq
fat-ass	yekəgöt
shove it up your ass	içinə soxmaq
perform	ifa etmək
obese	tosqun
okra	bamiyə
shekerbura	şəkərbura
corpulent	gombul
take offence	tısmaq
satiated	doyğun
obligation	öhdə
manage	öhdəsindən gəlmək
message	ismarıc
denominator	məxrəc
immoral	əxlaqsız
conduct	əxlaq
obligation	öhdəlik
comparative	müqayisəli
order	ismarış
surprise	təəccübləndirmək
slide	sürüşmək
sequence	ardıcıllıq
extreme	canfəşanlıq
extremely	canfəşan
trader	alverçi
immorality	əxlaqsızlıq
odd	əcaib
spring	çeşmə
emerge	ortaya çıxmaq
disagreeable	xoşagəlməz
become	güclənmək
babble	çərənləmək
chatterbox	çərənçi
gibberish	çərən-pərən
gibberish	çərən
itinerant	gəzərgi
dervish	dərviş
extreme	ifrat
extremist	ifratçı
extremism	ifratçılıq
over-	ifrat-
riverbed	məcra
globe	yer kürəsi
shovel	kürək
circle	dairə
latitude	en dairəsi
longitude	uzunluq dairəsi
length	uzunluq
quadrilateral	dördbucaq
semicircle	yarımdairə
arc	qövs
mighty	qadir
might	qüdrət
ability	bacarıq
